example_id,confusion_category,label,pred_label,profile,position,position_relative_to_snv,attention,source_token_index,source_token,source_offset_start,source_offset_end,num_tokens,prob_positive_recomputed
113,TP,1,1,ref,0,-128,0.01832297444343567,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,1,-127,0.01832297444343567,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,2,-126,0.01832297444343567,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,3,-125,0.015671266242861748,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,4,-124,0.015671266242861748,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,5,-123,0.015671266242861748,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,6,-122,0.015671266242861748,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,7,-121,0.015671266242861748,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,8,-120,0.01597018539905548,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,9,-119,0.01597018539905548,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,10,-118,0.01597018539905548,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,11,-117,0.01597018539905548,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,12,-116,0.015646852552890778,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,13,-115,0.015646852552890778,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,14,-114,0.015646852552890778,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,15,-113,0.015646852552890778,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,16,-112,0.015646852552890778,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,17,-111,0.018420018255710602,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,18,-110,0.018420018255710602,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,19,-109,0.018420018255710602,0,[CLS],0,0,58,0.9882234930992126
113,TP,1,1,ref,20,-108,0.020232930779457092,0,[CLS],0,0,58,0.9882234930992126
