confusion_category,position_relative_to_snv,mean_attention
FN,-206,0.008923749132081866
FN,-205,0.008935067472048103
FN,-204,0.008853742722421884
FN,-203,0.008919440666213632
FN,-202,0.008968453076668083
FN,-201,0.008970968862995506
FN,-200,0.00925772556103766
FN,-199,0.009278492536395788
FN,-198,0.009253676449880004
FN,-197,0.009287633951753377
FN,-196,0.00938119008205831
FN,-195,0.00938691848423332
FN,-194,0.009408305422402919
FN,-193,0.009442159617319703
FN,-192,0.009509664536453783
FN,-191,0.009497723914682865
FN,-190,0.009629210587590933
FN,-189,0.009579966589808465
FN,-188,0.009617594284936786
FN,-187,0.009699991764500737
FN,-186,0.009748726151883602
FN,-185,0.009760536719113588
FN,-184,0.009647623817436397
FN,-183,0.009531541033647955
FN,-182,0.00937209145631641
FN,-181,0.0093532543675974
FN,-180,0.009376209871843457
FN,-179,0.009187307259999215
FN,-178,0.00904520955402404
FN,-177,0.009040571441873908
FN,-176,0.009318157061934472
FN,-175,0.009189009154215454
FN,-174,0.009286994501017033
FN,-173,0.009337337771430611
FN,-172,0.009391841604374349
FN,-171,0.009442019117996097
FN,-170,0.009481821544468402
FN,-169,0.009303878745995461
FN,-168,0.009322175574488938
FN,-167,0.009248622842133045
FN,-166,0.00924734964966774
FN,-165,0.009428392248228192
FN,-164,0.009470963096246123
FN,-163,0.009449533596634864
FN,-162,0.009423422706313432
FN,-161,0.009509950829669832
FN,-160,0.009463357310742139
FN,-159,0.009430923578329385
FN,-158,0.009508594698272645
FN,-157,0.009491756823845208
FN,-156,0.009531059078872204
FN,-155,0.00967339306138456
FN,-154,0.009495090297423302
FN,-153,0.009549834639765322
FN,-152,0.009554865309037269
FN,-151,0.009594926061108709
FN,-150,0.009686437570489943
FN,-149,0.00953815842512995
FN,-148,0.009490479552187025
FN,-147,0.0096125348797068
FN,-146,0.00968821523245424
FN,-145,0.009669670453295112
FN,-144,0.009675026051700114
FN,-143,0.009650524780154228
FN,-142,0.009599753986112774
FN,-141,0.009567017736844718
FN,-140,0.009399028779007494
FN,-139,0.009267362477257847
FN,-138,0.009220906835980713
FN,-137,0.00921801364980638
FN,-136,0.00940198550466448
FN,-135,0.009389285431243479
FN,-134,0.009329361780546606
FN,-133,0.009290944342501462
FN,-132,0.009221974578686058
FN,-131,0.009247468272224068
FN,-130,0.009411042579449714
FN,-129,0.009427299653179944
FN,-128,0.009374240273609757
FN,-127,0.009300815216265619
FN,-126,0.009316599676385522
FN,-125,0.009290654016658663
FN,-124,0.009346235683187843
FN,-123,0.009263757867738604
FN,-122,0.009378617727197707
FN,-121,0.009470738205127418
FN,-120,0.009507641182281076
FN,-119,0.009356880001723767
FN,-118,0.009350207173265518
FN,-117,0.009306948985904456
FN,-116,0.00938197918701917
FN,-115,0.009265323113650083
FN,-114,0.009309390392154455
FN,-113,0.009368587257340551
FN,-112,0.009349171174690127
FN,-111,0.009356255936436355
FN,-110,0.009383877241052687
FN,-109,0.009544276352971792
FN,-108,0.00957115083001554
FN,-107,0.009668378541246057
FN,-106,0.009849856928922237
FN,-105,0.00985235155094415
FN,-104,0.009881034675054252
FN,-103,0.009815024146810174
FN,-102,0.00981229854747653
FN,-101,0.010023059025406837
FN,-100,0.009997594114392995
FN,-99,0.01001889537088573
FN,-98,0.010046511408872902
FN,-97,0.010058202114887536
FN,-96,0.009979658420197665
FN,-95,0.01001691648736596
FN,-94,0.009784577637910843
FN,-93,0.009818161306902766
FN,-92,0.009819494737312197
FN,-91,0.009836278609000146
FN,-90,0.009893669788725674
FN,-89,0.009818707681261004
FN,-88,0.009629425411112606
FN,-87,0.009675681279040872
FN,-86,0.009634275333955883
FN,-85,0.009649069281294942
FN,-84,0.009738143384456634
FN,-83,0.009705223944038152
FN,-82,0.009682099432684482
FN,-81,0.009641342698596417
FN,-80,0.009634302449412643
FN,-79,0.009592277011834086
FN,-78,0.009758516266010701
FN,-77,0.00976690426003188
FN,-76,0.009798404010944069
FN,-75,0.009738551918417215
FN,-74,0.009841262772679328
FN,-73,0.00985103911254555
FN,-72,0.009823199342936278
FN,-71,0.009746401365846395
FN,-70,0.00978882187511772
FN,-69,0.009759675390087067
FN,-68,0.009837060258723796
FN,-67,0.009711614190600813
FN,-66,0.009790831431746482
FN,-65,0.00975354072637856
FN,-64,0.009712339080870151
FN,-63,0.009656458999961615
FN,-62,0.009660672191530465
FN,-61,0.009601378105580807
FN,-60,0.0096259855479002
FN,-59,0.009796936949715018
FN,-58,0.009819482290185987
FN,-57,0.009758905689232052
FN,-56,0.009743999615311623
FN,-55,0.009723730757832528
FN,-54,0.009751521800644695
FN,-53,0.009686284861527384
FN,-52,0.009813286843709648
FN,-51,0.009834382133558393
FN,-50,0.009757615402340889
FN,-49,0.009787818472832442
FN,-48,0.009704470727592706
FN,-47,0.009660575310699642
FN,-46,0.009741911734454333
FN,-45,0.009662755257450044
FN,-44,0.009870016393251716
FN,-43,0.009871225054375828
FN,-42,0.009799492196179926
FN,-41,0.009812047658488154
FN,-40,0.009827394243329764
FN,-39,0.010261564366519451
FN,-38,0.010198809346184135
FN,-37,0.010157019142061472
FN,-36,0.010142229106277227
FN,-35,0.010159182325005532
FN,-34,0.010224229828454555
FN,-33,0.01028428322635591
FN,-32,0.010427276147529483
FN,-31,0.009930281769484281
FN,-30,0.009975374387577176
FN,-29,0.009944439576938748
FN,-28,0.009835580484941603
FN,-27,0.009995121192187071
FN,-26,0.010069845039397477
FN,-25,0.009960025618784129
FN,-24,0.00997197645250708
FN,-23,0.009942317898385226
FN,-22,0.00996456599328667
FN,-21,0.009916255427524447
FN,-20,0.009849445004947483
FN,-19,0.009864428876899183
FN,-18,0.010051274523139
FN,-17,0.010071496916934848
FN,-16,0.010034253932535648
FN,-15,0.010077279647812248
FN,-14,0.010070802792906761
FN,-13,0.010140871433541178
FN,-12,0.010051214024424554
FN,-11,0.010130858616903424
FN,-10,0.010121732419356703
FN,-9,0.010191905871033668
FN,-8,0.010112684974446893
