example_id,confusion_category,position_relative_to_snv,ig_attr
chr3:75785547:gastrocnemius_medialis:0,TP,-252,0.06958967447280884
chr3:75785547:gastrocnemius_medialis:0,TP,-251,0.06958967447280884
chr3:75785547:gastrocnemius_medialis:0,TP,-250,0.06958967447280884
chr3:75785547:gastrocnemius_medialis:0,TP,-249,0.06958967447280884
chr3:75785547:gastrocnemius_medialis:0,TP,-248,0.06958967447280884
chr3:75785547:gastrocnemius_medialis:0,TP,-247,0.0627417117357254
chr3:75785547:gastrocnemius_medialis:0,TP,-246,0.0627417117357254
chr3:75785547:gastrocnemius_medialis:0,TP,-245,0.0627417117357254
chr3:75785547:gastrocnemius_medialis:0,TP,-244,-0.0005503878928720951
chr3:75785547:gastrocnemius_medialis:0,TP,-243,-0.0005503878928720951
chr3:75785547:gastrocnemius_medialis:0,TP,-242,-0.0005503878928720951
chr3:75785547:gastrocnemius_medialis:0,TP,-241,-0.0005503878928720951
chr3:75785547:gastrocnemius_medialis:0,TP,-240,-0.0005503878928720951
chr3:75785547:gastrocnemius_medialis:0,TP,-239,0.1273031234741211
chr3:75785547:gastrocnemius_medialis:0,TP,-238,0.1273031234741211
chr3:75785547:gastrocnemius_medialis:0,TP,-237,0.1273031234741211
chr3:75785547:gastrocnemius_medialis:0,TP,-236,0.1273031234741211
chr3:75785547:gastrocnemius_medialis:0,TP,-235,0.09246285259723663
chr3:75785547:gastrocnemius_medialis:0,TP,-234,0.09246285259723663
chr3:75785547:gastrocnemius_medialis:0,TP,-233,0.09246285259723663
chr3:75785547:gastrocnemius_medialis:0,TP,-232,0.09246285259723663
chr3:75785547:gastrocnemius_medialis:0,TP,-231,0.16356125473976135
chr3:75785547:gastrocnemius_medialis:0,TP,-230,0.16356125473976135
chr3:75785547:gastrocnemius_medialis:0,TP,-229,0.16356125473976135
chr3:75785547:gastrocnemius_medialis:0,TP,-228,0.16356125473976135
chr3:75785547:gastrocnemius_medialis:0,TP,-227,0.16356125473976135
chr3:75785547:gastrocnemius_medialis:0,TP,-226,0.07776237279176712
chr3:75785547:gastrocnemius_medialis:0,TP,-225,0.07776237279176712
chr3:75785547:gastrocnemius_medialis:0,TP,-224,0.07776237279176712
chr3:75785547:gastrocnemius_medialis:0,TP,-223,0.07776237279176712
chr3:75785547:gastrocnemius_medialis:0,TP,-222,0.07776237279176712
chr3:75785547:gastrocnemius_medialis:0,TP,-221,0.006847411394119263
chr3:75785547:gastrocnemius_medialis:0,TP,-220,0.006847411394119263
chr3:75785547:gastrocnemius_medialis:0,TP,-219,0.006847411394119263
chr3:75785547:gastrocnemius_medialis:0,TP,-218,0.006847411394119263
chr3:75785547:gastrocnemius_medialis:0,TP,-217,0.006847411394119263
chr3:75785547:gastrocnemius_medialis:0,TP,-216,0.00661085732281208
chr3:75785547:gastrocnemius_medialis:0,TP,-215,0.00661085732281208
chr3:75785547:gastrocnemius_medialis:0,TP,-214,0.00661085732281208
chr3:75785547:gastrocnemius_medialis:0,TP,-213,0.00661085732281208
chr3:75785547:gastrocnemius_medialis:0,TP,-212,0.00661085732281208
chr3:75785547:gastrocnemius_medialis:0,TP,-211,0.00661085732281208
