example_id,confusion_category,position_relative_to_snv,ism_importance
chr3:75785547:gastrocnemius_medialis:0,TP,-100,0.006465435028076172
chr3:75785547:gastrocnemius_medialis:0,TP,-99,0.005195140838623047
chr3:75785547:gastrocnemius_medialis:0,TP,-98,0.009970664978027344
chr3:75785547:gastrocnemius_medialis:0,TP,-97,0.004048824310302734
chr3:75785547:gastrocnemius_medialis:0,TP,-96,0.008613109588623047
chr3:75785547:gastrocnemius_medialis:0,TP,-95,0.010142803192138672
chr3:75785547:gastrocnemius_medialis:0,TP,-94,0.01105499267578125
chr3:75785547:gastrocnemius_medialis:0,TP,-93,0.004401683807373047
chr3:75785547:gastrocnemius_medialis:0,TP,-92,0.010175228118896484
chr3:75785547:gastrocnemius_medialis:0,TP,-91,0.005751132965087891
chr3:75785547:gastrocnemius_medialis:0,TP,-90,0.005386829376220703
chr3:75785547:gastrocnemius_medialis:0,TP,-89,0.003341197967529297
chr3:75785547:gastrocnemius_medialis:0,TP,-88,0.009776115417480469
chr3:75785547:gastrocnemius_medialis:0,TP,-87,0.0022263526916503906
chr3:75785547:gastrocnemius_medialis:0,TP,-86,0.007675647735595703
chr3:75785547:gastrocnemius_medialis:0,TP,-85,0.008811473846435547
chr3:75785547:gastrocnemius_medialis:0,TP,-84,0.009188175201416016
chr3:75785547:gastrocnemius_medialis:0,TP,-83,0.0033097267150878906
chr3:75785547:gastrocnemius_medialis:0,TP,-82,0.014199256896972656
chr3:75785547:gastrocnemius_medialis:0,TP,-81,0.006936073303222656
chr3:75785547:gastrocnemius_medialis:0,TP,-80,0.012498855590820312
chr3:75785547:gastrocnemius_medialis:0,TP,-79,0.005184650421142578
chr3:75785547:gastrocnemius_medialis:0,TP,-78,0.011404037475585938
chr3:75785547:gastrocnemius_medialis:0,TP,-77,0.005684375762939453
chr3:75785547:gastrocnemius_medialis:0,TP,-76,0.012107372283935547
chr3:75785547:gastrocnemius_medialis:0,TP,-75,0.004467964172363281
chr3:75785547:gastrocnemius_medialis:0,TP,-74,0.009356021881103516
chr3:75785547:gastrocnemius_medialis:0,TP,-73,0.0104827880859375
chr3:75785547:gastrocnemius_medialis:0,TP,-72,0.01536417007446289
chr3:75785547:gastrocnemius_medialis:0,TP,-71,0.005321025848388672
chr3:75785547:gastrocnemius_medialis:0,TP,-70,0.013644218444824219
chr3:75785547:gastrocnemius_medialis:0,TP,-69,0.009524822235107422
chr3:75785547:gastrocnemius_medialis:0,TP,-68,0.00839996337890625
chr3:75785547:gastrocnemius_medialis:0,TP,-67,0.010509014129638672
chr3:75785547:gastrocnemius_medialis:0,TP,-66,0.006604671478271484
chr3:75785547:gastrocnemius_medialis:0,TP,-65,0.012650012969970703
chr3:75785547:gastrocnemius_medialis:0,TP,-64,0.007382869720458984
chr3:75785547:gastrocnemius_medialis:0,TP,-63,0.01703500747680664
chr3:75785547:gastrocnemius_medialis:0,TP,-62,0.025058269500732422
chr3:75785547:gastrocnemius_medialis:0,TP,-61,0.01280355453491211
chr3:75785547:gastrocnemius_medialis:0,TP,-60,0.009633064270019531
chr3:75785547:gastrocnemius_medialis:0,TP,-59,0.01186513900756836
chr3:75785547:gastrocnemius_medialis:0,TP,-58,0.017914295196533203
chr3:75785547:gastrocnemius_medialis:0,TP,-57,0.00751495361328125
chr3:75785547:gastrocnemius_medialis:0,TP,-56,0.008135318756103516
chr3:75785547:gastrocnemius_medialis:0,TP,-55,0.012270450592041016
chr3:75785547:gastrocnemius_medialis:0,TP,-54,0.013715744018554688
chr3:75785547:gastrocnemius_medialis:0,TP,-53,0.017261028289794922
chr3:75785547:gastrocnemius_medialis:0,TP,-52,0.020076751708984375
