confusion_category,position_relative_to_snv,mean_attention,plot_attention,baseline
FN,-206,0.009458397547714412,0.009458397547714412,0.0
FN,-205,0.009299968178384006,0.009299968178384006,0.0
FN,-204,0.009282068121246994,0.009282068121246994,0.0
FN,-203,0.009226590599864722,0.009226590599864722,0.0
FN,-202,0.009269484523683787,0.009269484523683787,0.0
FN,-201,0.009287072257138788,0.009287072257138788,0.0
FN,-200,0.00931289338041097,0.00931289338041097,0.0
FN,-199,0.009381044246256352,0.009381044246256352,0.0
FN,-198,0.009466175981797277,0.009466175981797277,0.0
FN,-197,0.009528076718561351,0.009528076718561351,0.0
FN,-196,0.009500051038339735,0.009500051038339735,0.0
FN,-195,0.009519887529313565,0.009519887529313565,0.0
FN,-194,0.00947076871059835,0.00947076871059835,0.0
FN,-193,0.009500060682184994,0.009500060682184994,0.0
FN,-192,0.009416896570473909,0.009416896570473909,0.0
FN,-191,0.009402206758968532,0.009402206758968532,0.0
FN,-190,0.009443556391634047,0.009443556391634047,0.0
FN,-189,0.00920569893438369,0.00920569893438369,0.0
FN,-188,0.009252693755552172,0.009252693755552172,0.0
FN,-187,0.009282487602904439,0.009282487602904439,0.0
FN,-186,0.009261687402613461,0.009261687402613461,0.0
FN,-185,0.009148537535220385,0.009148537535220385,0.0
FN,-184,0.009099418185651303,0.009099418185651303,0.0
FN,-183,0.009018621076829731,0.009018621076829731,0.0
FN,-182,0.009070201781578363,0.009070201781578363,0.0
FN,-181,0.009092255532741546,0.009092255532741546,0.0
FN,-180,0.009028862253762782,0.009028862253762782,0.0
FN,-179,0.008959290143102407,0.008959290143102407,0.0
FN,-178,0.008958864235319197,0.008958864235319197,0.0
FN,-177,0.00900114316958934,0.00900114316958934,0.0
FN,-176,0.009096034704707563,0.009096034704707563,0.0
FN,-175,0.00911557927262038,0.00911557927262038,0.0
FN,-174,0.00914461953099817,0.00914461953099817,0.0
FN,-173,0.009205832416191696,0.009205832416191696,0.0
FN,-172,0.009341690256260336,0.009341690256260336,0.0
FN,-171,0.009451422565616667,0.009451422565616667,0.0
FN,-170,0.009450369202531873,0.009450369202531873,0.0
FN,-169,0.00932529500219971,0.00932529500219971,0.0
FN,-168,0.009312242208980024,0.009312242208980024,0.0
FN,-167,0.009350280654616653,0.009350280654616653,0.0
FN,-166,0.009188266629353166,0.009188266629353166,0.0
FN,-165,0.009156620535068214,0.009156620535068214,0.0
FN,-164,0.009159291288815439,0.009159291288815439,0.0
FN,-163,0.009265918368473649,0.009265918368473649,0.0
FN,-162,0.00916917652823031,0.00916917652823031,0.0
FN,-161,0.009175320412032307,0.009175320412032307,0.0
FN,-160,0.009148350218310952,0.009148350218310952,0.0
FN,-159,0.009280519089661538,0.009280519089661538,0.0
FN,-158,0.009324043300002813,0.009324043300002813,0.0
FN,-157,0.009372111591510475,0.009372111591510475,0.0
FN,-156,0.009443611442111432,0.009443611442111432,0.0
FN,-155,0.009400561121292412,0.009400561121292412,0.0
FN,-154,0.009448084444738925,0.009448084444738925,0.0
FN,-153,0.009407236468978225,0.009407236468978225,0.0
FN,-152,0.009427710296586156,0.009427710296586156,0.0
FN,-151,0.009469016753137112,0.009469016753137112,0.0
FN,-150,0.009445745684206485,0.009445745684206485,0.0
FN,-149,0.009331367262639105,0.009331367262639105,0.0
FN,-148,0.009353214777074754,0.009353214777074754,0.0
FN,-147,0.009443152244202793,0.009443152244202793,0.0
FN,-146,0.009333781572058797,0.009333781572058797,0.0
FN,-145,0.00935007052961737,0.00935007052961737,0.0
FN,-144,0.00942288410384208,0.00942288410384208,0.0
FN,-143,0.009288045493885875,0.009288045493885875,0.0
FN,-142,0.009226878751069307,0.009226878751069307,0.0
FN,-141,0.009293645955622196,0.009293645955622196,0.0
FN,-140,0.009320131572894751,0.009320131572894751,0.0
FN,-139,0.009311284483410419,0.009311284483410419,0.0
FN,-138,0.009316471545025707,0.009316471545025707,0.0
FN,-137,0.0093884921586141,0.0093884921586141,0.0
FN,-136,0.009429735578596592,0.009429735578596592,0.0
FN,-135,0.00944497882388532,0.00944497882388532,0.0
FN,-134,0.009274630988948047,0.009274630988948047,0.0
FN,-133,0.009224273706786334,0.009224273706786334,0.0
FN,-132,0.009418200622312724,0.009418200622312724,0.0
FN,-131,0.009304257868789136,0.009304257868789136,0.0
FN,-130,0.009243799508549273,0.009243799508549273,0.0
FN,-129,0.009278711974620818,0.009278711974620818,0.0
FN,-128,0.009116183118894696,0.009116183118894696,0.0
FN,-127,0.009273682325147092,0.009273682325147092,0.0
FN,-126,0.009236671552062035,0.009236671552062035,0.0
FN,-125,0.009261657749302685,0.009261657749302685,0.0
FN,-124,0.009301591273397207,0.009301591273397207,0.0
FN,-123,0.009421530989930033,0.009421530989930033,0.0
FN,-122,0.009425343200564384,0.009425343200564384,0.0
FN,-121,0.009401056352071464,0.009401056352071464,0.0
FN,-120,0.009304697350598872,0.009304697350598872,0.0
FN,-119,0.009275755723938345,0.009275755723938345,0.0
FN,-118,0.009273475832305849,0.009273475832305849,0.0
FN,-117,0.009202865180559456,0.009202865180559456,0.0
FN,-116,0.009137261840514839,0.009137261840514839,0.0
FN,-115,0.009180421768687665,0.009180421768687665,0.0
FN,-114,0.009260357609018683,0.009260357609018683,0.0
FN,-113,0.009298639097250998,0.009298639097250998,0.0
FN,-112,0.009343076413497329,0.009343076413497329,0.0
FN,-111,0.00925302939955145,0.00925302939955145,0.0
FN,-110,0.009144700705073774,0.009144700705073774,0.0
FN,-109,0.009381661918014287,0.009381661918014287,0.0
FN,-108,0.009300764366053045,0.009300764366053045,0.0
FN,-107,0.009271139968186617,0.009271139968186617,0.0
FN,-106,0.009525889572687447,0.009525889572687447,0.0
FN,-105,0.009477986134588718,0.009477986134588718,0.0
FN,-104,0.00951490075327456,0.00951490075327456,0.0
FN,-103,0.009561269609257579,0.009561269609257579,0.0
FN,-102,0.009622018500231207,0.009622018500231207,0.0
FN,-101,0.009545224732719362,0.009545224732719362,0.0
FN,-100,0.009511420265771448,0.009511420265771448,0.0
FN,-99,0.009513819054700435,0.009513819054700435,0.0
FN,-98,0.009463914455845952,0.009463914455845952,0.0
FN,-97,0.009442913806997239,0.009442913806997239,0.0
FN,-96,0.0094612890901044,0.0094612890901044,0.0
FN,-95,0.009405521955341101,0.009405521955341101,0.0
FN,-94,0.00928094367031008,0.00928094367031008,0.0
FN,-93,0.009238324132747949,0.009238324132747949,0.0
FN,-92,0.00931017305701971,0.00931017305701971,0.0
FN,-91,0.009349088473245502,0.009349088473245502,0.0
FN,-90,0.009526561731472611,0.009526561731472611,0.0
FN,-89,0.009431673334911466,0.009431673334911466,0.0
FN,-88,0.009363633613102138,0.009363633613102138,0.0
FN,-87,0.009502101982943713,0.009502101982943713,0.0
FN,-86,0.00948133759200573,0.00948133759200573,0.0
FN,-85,0.009537748573347927,0.009537748573347927,0.0
FN,-84,0.009723922424018382,0.009723922424018382,0.0
FN,-83,0.009913087161257862,0.009913087161257862,0.0
FN,-82,0.009995788233354688,0.009995788233354688,0.0
FN,-81,0.01004028895869851,0.01004028895869851,0.0
FN,-80,0.009919009660370648,0.009919009660370648,0.0
FN,-79,0.009984822748228907,0.009984822748228907,0.0
FN,-78,0.009846919840201735,0.009846919840201735,0.0
FN,-77,0.009871417079120875,0.009871417079120875,0.0
FN,-76,0.00987675340846181,0.00987675340846181,0.0
FN,-75,0.009867282379418611,0.009867282379418611,0.0
FN,-74,0.00989443177357316,0.00989443177357316,0.0
FN,-73,0.009778714650310575,0.009778714650310575,0.0
FN,-72,0.009706582138314844,0.009706582138314844,0.0
FN,-71,0.009795035333372653,0.009795035333372653,0.0
FN,-70,0.009824250382371247,0.009824250382371247,0.0
FN,-69,0.009831991642713547,0.009831991642713547,0.0
FN,-68,0.009929596199654042,0.009929596199654042,0.0
FN,-67,0.009845998319797218,0.009845998319797218,0.0
