confusion_category,position_relative_to_snv,mean_attention
FN,-150,0.009398070126771928
FN,-149,0.009168761488981545
FN,-148,0.009072185033001006
FN,-147,0.00915352708660066
FN,-146,0.009257528674788773
FN,-145,0.00915557585656643
FN,-144,0.009073188798502087
FN,-143,0.009025044129230083
FN,-142,0.009030707315541803
FN,-141,0.009065056261606514
FN,-140,0.009177429527044296
FN,-139,0.009127448443323374
FN,-138,0.009089370318688452
FN,-137,0.009003723659552633
FN,-136,0.009093853547237813
FN,-135,0.009219307648018003
FN,-134,0.009237018823623657
FN,-133,0.009223921396769584
FN,-132,0.009256027438677848
FN,-131,0.009244848005473615
FN,-130,0.009360928051173688
FN,-129,0.009312139162793755
FN,-128,0.009326960765756667
FN,-127,0.009254907248541713
FN,-126,0.009207699070684612
FN,-125,0.009156258427537978
FN,-124,0.009127005361951887
FN,-123,0.009203122854232788
FN,-122,0.009240418728441
FN,-121,0.009251063321717084
FN,-120,0.009245551535859703
FN,-119,0.009247907199896871
FN,-118,0.009153473931364715
FN,-117,0.009222787250764667
FN,-116,0.009229912855662405
FN,-115,0.00924774419516325
FN,-114,0.009386041597463191
FN,-113,0.009381986628286541
FN,-112,0.009386355257593095
FN,-111,0.009474059659987688
FN,-110,0.009468034668825566
FN,-109,0.009519690424203872
FN,-108,0.00956223847810179
FN,-107,0.009705506577156485
FN,-106,0.009721693024039269
FN,-105,0.009738861550576985
FN,-104,0.009718354898504913
FN,-103,0.009659658391028643
FN,-102,0.009638796392828226
FN,-101,0.009627267667092383
FN,-100,0.009591444558463991
FN,-99,0.009574987464584411
FN,-98,0.00960453860461712
FN,-97,0.009533966542221606
FN,-96,0.009595663617365063
FN,-95,0.009573864829726518
FN,-94,0.009519500019960105
FN,-93,0.009548037122003734
FN,-92,0.009605171554721893
FN,-91,0.009707455402240156
FN,-90,0.009693713621236383
FN,-89,0.009687315919436515
FN,-88,0.009655672442167997
FN,-87,0.009737127530388533
FN,-86,0.009685451849363744
FN,-85,0.009686200567521154
FN,-84,0.00965314126573503
FN,-83,0.009616101407445968
FN,-82,0.009574201866053044
FN,-81,0.009571722745895385
FN,-80,0.0095403567655012
FN,-79,0.009472518237307668
FN,-78,0.009424128006212413
FN,-77,0.00944813737180084
FN,-76,0.009460865948349238
FN,-75,0.009463611161336302
FN,-74,0.009520995588973164
FN,-73,0.009462868296541273
FN,-72,0.009411107171326876
FN,-71,0.009452009689994156
FN,-70,0.009506026990711689
FN,-69,0.009456064119003713
FN,-68,0.009600128163583577
FN,-67,0.009642414008267224
FN,-66,0.00972346793860197
FN,-65,0.009759299424476921
FN,-64,0.009861746123060584
FN,-63,0.009850233704783022
FN,-62,0.009772746008820832
FN,-61,0.00978521594312042
FN,-60,0.009755037501454353
FN,-59,0.00969267241191119
FN,-58,0.009766485816799104
FN,-57,0.009792378642596305
FN,-56,0.009777096132747829
FN,-55,0.009824641961604357
FN,-54,0.009839943163096904
FN,-53,0.009792012851685286
