confusion_category,position_relative_to_snv,ism_importance
FN,-100,0.05231540203094483
FN,-99,0.05589538097381592
FN,-98,0.06034193277359009
FN,-97,0.047329022884368896
FN,-96,0.050938618183135984
FN,-95,0.05678056240081787
FN,-94,0.05451976537704468
FN,-93,0.053656601905822755
FN,-92,0.05465090036392212
FN,-91,0.0534520411491394
FN,-90,0.05058189392089844
FN,-89,0.054690828323364256
FN,-88,0.05023641586303711
FN,-87,0.05154011726379395
FN,-86,0.05031073331832886
FN,-85,0.04403591632843017
FN,-84,0.0499111270904541
FN,-83,0.0492701268196106
FN,-82,0.05358896255493164
FN,-81,0.05111842393875122
FN,-80,0.04822440624237061
FN,-79,0.056692721843719485
FN,-78,0.05415799379348755
FN,-77,0.048688914775848385
FN,-76,0.045066039562225345
FN,-75,0.049042553901672364
FN,-74,0.045458135604858396
FN,-73,0.044238884449005124
FN,-72,0.04544339895248413
FN,-71,0.046582970619201663
FN,-70,0.047953813076019286
FN,-69,0.04458980321884155
FN,-68,0.057359549999237064
FN,-67,0.052270872592926024
FN,-66,0.050287859439849855
FN,-65,0.04895674705505371
FN,-64,0.05144841194152832
FN,-63,0.04755622625350952
FN,-62,0.04819286584854126
FN,-61,0.054454665184021
FN,-60,0.04783302307128906
FN,-59,0.04588508367538452
FN,-58,0.04810205936431885
FN,-57,0.05852609395980835
FN,-56,0.05198208570480347
FN,-55,0.06723743915557862
FN,-54,0.061771132946014405
FN,-53,0.053976786136627194
FN,-52,0.05753493428230286
FN,-51,0.04531439542770386
FN,-50,0.04686389446258545
FN,-49,0.048454892635345456
FN,-48,0.05125541925430298
FN,-47,0.05634315252304077
FN,-46,0.04559039354324341
FN,-45,0.051251623630523685
FN,-44,0.04999488115310669
FN,-43,0.052250468730926515
FN,-42,0.04639779329299927
FN,-41,0.047427356243133545
FN,-40,0.04332159042358399
FN,-39,0.04956526756286621
FN,-38,0.045331473350524905
FN,-37,0.05128016948699951
FN,-36,0.05325903177261353
FN,-35,0.05355152130126953
FN,-34,0.054966249465942384
FN,-33,0.0531964373588562
FN,-32,0.05538356065750122
FN,-31,0.046564109325408935
FN,-30,0.05170863151550293
FN,-29,0.05291818618774414
FN,-28,0.05055787563323975
FN,-27,0.04900089740753174
FN,-26,0.04459872007369995
FN,-25,0.049373915195465086
FN,-24,0.044427783489227296
FN,-23,0.04607771873474121
FN,-22,0.046125495433807374
FN,-21,0.0502222466468811
FN,-20,0.048191421031951905
FN,-19,0.04975562334060669
FN,-18,0.04684961080551148
FN,-17,0.04329825162887573
FN,-16,0.04666399478912354
FN,-15,0.052471506595611575
FN,-14,0.046222364902496337
FN,-13,0.04616549015045166
FN,-12,0.042038905620574954
FN,-11,0.04997395515441894
FN,-10,0.056843278408050535
FN,-9,0.048446211814880374
FN,-8,0.04743771553039551
FN,-7,0.050325372219085694
FN,-6,0.04399125337600708
FN,-5,0.0500580906867981
FN,-4,0.03887035846710205
FN,-3,0.04058728218078613
FN,-2,0.045688698291778566
FN,-1,0.04784161567687988
FN,0,0.046131970882415774
FN,1,0.0501137375831604
FN,2,0.05041757106781006
FN,3,0.05601729393005371
FN,4,0.04704015970230103
FN,5,0.04846099853515625
FN,6,0.057112700939178467
FN,7,0.044630823135375974
FN,8,0.0489392900466919
FN,9,0.045576467514038085
FN,10,0.04238594055175781
FN,11,0.043595340251922604
